	date	temperatureInCelcius
47	2026-06-04 23:00:00+00:00	18.127998
48	2026-06-05 00:00:00+00:00	17.828
49	2026-06-05 01:00:00+00:00	17.428
50	2026-06-05 02:00:00+00:00	16.977999
51	2026-06-05 03:00:00+00:00	16.528
52	2026-06-05 04:00:00+00:00	16.127998
53	2026-06-05 05:00:00+00:00	15.878
54	2026-06-05 06:00:00+00:00	15.778
55	2026-06-05 07:00:00+00:00	15.928
56	2026-06-05 08:00:00+00:00	16.278
57	2026-06-05 09:00:00+00:00	16.778
58	2026-06-05 10:00:00+00:00	17.278
59	2026-06-05 11:00:00+00:00	17.727999
60	2026-06-05 12:00:00+00:00	18.028
61	2026-06-05 13:00:00+00:00	18.178
62	2026-06-05 14:00:00+00:00	18.278
63	2026-06-05 15:00:00+00:00	18.328
64	2026-06-05 16:00:00+00:00	18.278
65	2026-06-05 17:00:00+00:00	18.127998
66	2026-06-05 18:00:00+00:00	17.877998
67	2026-06-05 19:00:00+00:00	17.428
68	2026-06-05 20:00:00+00:00	16.727999
69	2026-06-05 21:00:00+00:00	15.928
70	2026-06-05 22:00:00+00:00	15.178
71	2026-06-05 23:00:00+00:00	14.528
72	2026-06-06 00:00:00+00:00	14.178
73	2026-06-06 01:00:00+00:00	14.078
74	2026-06-06 02:00:00+00:00	14.078
75	2026-06-06 03:00:00+00:00	14.228
76	2026-06-06 04:00:00+00:00	14.528
77	2026-06-06 05:00:00+00:00	14.978
78	2026-06-06 06:00:00+00:00	15.578
79	2026-06-06 07:00:00+00:00	16.428
80	2026-06-06 08:00:00+00:00	17.627998
81	2026-06-06 09:00:00+00:00	18.977999
82	2026-06-06 10:00:00+00:00	20.278
83	2026-06-06 11:00:00+00:00	21.377998
84	2026-06-06 12:00:00+00:00	22.078
85	2026-06-06 13:00:00+00:00	22.377998
86	2026-06-06 14:00:00+00:00	22.477999
87	2026-06-06 15:00:00+00:00	22.328
88	2026-06-06 16:00:00+00:00	22.028
89	2026-06-06 17:00:00+00:00	21.627998
90	2026-06-06 18:00:00+00:00	21.127998
91	2026-06-06 19:00:00+00:00	20.477999
92	2026-06-06 20:00:00+00:00	19.578
93	2026-06-06 21:00:00+00:00	18.528
94	2026-06-06 22:00:00+00:00	17.528
95	2026-06-06 23:00:00+00:00	16.727999
96	2026-06-07 00:00:00+00:00	16.178
97	2026-06-07 01:00:00+00:00	15.978
98	2026-06-07 02:00:00+00:00	16.028
99	2026-06-07 03:00:00+00:00	16.178
100	2026-06-07 04:00:00+00:00	16.477999
101	2026-06-07 05:00:00+00:00	16.828
102	2026-06-07 06:00:00+00:00	17.127998
103	2026-06-07 07:00:00+00:00	17.477999
104	2026-06-07 08:00:00+00:00	17.928
105	2026-06-07 09:00:00+00:00	18.428
106	2026-06-07 10:00:00+00:00	18.877998
